,sex,age,Pass
581,0.0,1.0,0.0
488,0.0,1.0,0.0
5,1.0,0.0,0.0
45,0.0,0.0,1.0
424,0.0,0.0,1.0
465,0.0,1.0,0.0
500,1.0,0.0,0.0
16,0.0,0.0,1.0
48,1.0,0.0,0.0
627,1.0,1.0,0.0
592,0.0,0.0,1.0
3,0.0,0.0,1.0
586,0.0,0.0,1.0
412,0.0,1.0,0.0
316,0.0,0.0,1.0
283,1.0,0.0,0.0
433,0.0,0.0,1.0
285,1.0,0.0,0.0
360,0.0,1.0,0.0
225,1.0,0.0,0.0
26,1.0,0.0,0.0
509,0.0,0.0,1.0
263,1.0,1.0,0.0
50,0.0,0.0,1.0
229,0.0,0.0,1.0
37,1.0,0.0,0.0
157,0.0,0.0,1.0
237,1.0,1.0,0.0
622,1.0,1.0,0.0
175,1.0,0.0,0.0
545,1.0,0.0,0.0
451,1.0,0.0,0.0
194,1.0,0.0,0.0
547,1.0,0.0,0.0
388,0.0,1.0,0.0
626,0.0,1.0,0.0
553,1.0,0.0,0.0
67,0.0,0.0,1.0
382,0.0,0.0,1.0
168,1.0,0.0,0.0
588,0.0,0.0,1.0
162,1.0,0.0,0.0
309,1.0,1.0,0.0
193,1.0,0.0,0.0
629,0.0,0.0,1.0
365,0.0,0.0,1.0
428,0.0,0.0,1.0
152,1.0,0.0,0.0
390,0.0,1.0,0.0
423,0.0,0.0,1.0
226,0.0,0.0,1.0
396,1.0,1.0,0.0
519,1.0,0.0,0.0
103,0.0,0.0,1.0
468,1.0,0.0,0.0
74,0.0,0.0,1.0
506,0.0,1.0,0.0
625,0.0,1.0,0.0
119,1.0,0.0,0.0
464,1.0,0.0,0.0
630,0.0,1.0,0.0
610,0.0,1.0,0.0
207,1.0,0.0,0.0
536,1.0,0.0,0.0
421,0.0,1.0,0.0
407,0.0,1.0,0.0
529,0.0,0.0,1.0
8,1.0,0.0,0.0
453,0.0,0.0,1.0
36,1.0,0.0,0.0
139,0.0,0.0,1.0
253,0.0,1.0,0.0
303,0.0,0.0,1.0
517,0.0,0.0,1.0
467,0.0,0.0,1.0
368,1.0,1.0,0.0
59,0.0,0.0,1.0
111,0.0,0.0,1.0
422,0.0,1.0,0.0
434,0.0,0.0,1.0
425,0.0,0.0,1.0
262,0.0,0.0,1.0
541,0.0,0.0,1.0
297,1.0,0.0,0.0
150,0.0,0.0,1.0
266,0.0,0.0,1.0
620,0.0,0.0,1.0
359,0.0,0.0,1.0
572,0.0,0.0,1.0
38,0.0,0.0,1.0
127,0.0,1.0,0.0
416,1.0,0.0,0.0
307,1.0,0.0,0.0
198,0.0,0.0,1.0
351,1.0,1.0,0.0
426,0.0,0.0,1.0
146,1.0,0.0,0.0
604,0.0,1.0,0.0
624,0.0,0.0,1.0
419,1.0,1.0,0.0
574,1.0,1.0,0.0
147,0.0,0.0,1.0
503,0.0,0.0,1.0
348,0.0,0.0,1.0
325,1.0,0.0,0.0
469,1.0,0.0,0.0
123,1.0,0.0,0.0
546,0.0,0.0,1.0
96,1.0,0.0,0.0
143,0.0,1.0,0.0
239,0.0,1.0,0.0
394,0.0,0.0,1.0
452,0.0,0.0,1.0
97,0.0,0.0,1.0
371,0.0,1.0,0.0
324,1.0,1.0,0.0
279,1.0,1.0,0.0
293,0.0,1.0,0.0
254,0.0,1.0,0.0
400,1.0,1.0,0.0
122,0.0,0.0,1.0
183,0.0,0.0,1.0
202,0.0,0.0,1.0
438,0.0,0.0,1.0
323,1.0,1.0,0.0
246,1.0,0.0,0.0
415,0.0,1.0,0.0
501,1.0,0.0,0.0
487,0.0,1.0,0.0
538,0.0,0.0,1.0
567,1.0,1.0,0.0
571,1.0,1.0,0.0
640,1.0,1.0,0.0
125,1.0,0.0,0.0
402,0.0,0.0,1.0
511,0.0,0.0,1.0
495,0.0,0.0,1.0
223,0.0,0.0,1.0
342,0.0,1.0,0.0
53,0.0,0.0,1.0
219,0.0,0.0,1.0
129,1.0,0.0,0.0
587,0.0,1.0,0.0
515,0.0,1.0,0.0
186,1.0,0.0,0.0
590,0.0,1.0,0.0
439,0.0,0.0,1.0
619,0.0,1.0,0.0
100,1.0,0.0,0.0
482,0.0,0.0,1.0
386,0.0,0.0,1.0
628,0.0,0.0,1.0
294,0.0,1.0,0.0
267,1.0,0.0,0.0
51,0.0,0.0,1.0
441,1.0,0.0,0.0
497,1.0,0.0,0.0
112,0.0,0.0,1.0
179,1.0,0.0,0.0
611,0.0,1.0,0.0
559,1.0,1.0,0.0
530,1.0,0.0,0.0
523,1.0,1.0,0.0
373,0.0,0.0,1.0
314,1.0,0.0,0.0
462,0.0,0.0,1.0
151,1.0,0.0,0.0
171,1.0,0.0,0.0
233,0.0,0.0,1.0
306,1.0,1.0,0.0
512,0.0,1.0,0.0
164,1.0,0.0,0.0
317,0.0,0.0,1.0
136,1.0,0.0,0.0
410,0.0,0.0,1.0
576,1.0,1.0,0.0
197,0.0,0.0,1.0
358,0.0,1.0,0.0
258,0.0,0.0,1.0
232,0.0,0.0,1.0
532,1.0,0.0,0.0
115,1.0,0.0,0.0
120,0.0,0.0,1.0
445,1.0,0.0,0.0
282,1.0,1.0,0.0
376,0.0,1.0,0.0
384,1.0,1.0,0.0
224,0.0,1.0,0.0
615,0.0,0.0,1.0
527,1.0,0.0,0.0
472,0.0,0.0,1.0
347,0.0,0.0,1.0
505,0.0,0.0,1.0
638,1.0,0.0,0.0
598,1.0,1.0,0.0
548,0.0,0.0,1.0
85,0.0,0.0,1.0
242,1.0,1.0,0.0
159,0.0,0.0,1.0
524,0.0,0.0,1.0
35,0.0,0.0,1.0
170,0.0,1.0,0.0
550,1.0,0.0,0.0
542,0.0,0.0,1.0
609,0.0,1.0,0.0
95,0.0,0.0,1.0
240,0.0,0.0,1.0
460,0.0,0.0,1.0
599,1.0,1.0,0.0
206,1.0,0.0,0.0
392,0.0,0.0,1.0
397,0.0,0.0,1.0
543,1.0,0.0,0.0
217,0.0,0.0,1.0
4,0.0,0.0,1.0
575,0.0,1.0,0.0
98,0.0,0.0,1.0
406,0.0,0.0,1.0
502,1.0,0.0,0.0
47,1.0,0.0,0.0
32,1.0,0.0,0.0
200,1.0,0.0,0.0
134,0.0,0.0,1.0
27,1.0,0.0,0.0
613,0.0,1.0,0.0
230,0.0,0.0,1.0
489,1.0,1.0,0.0
378,1.0,0.0,0.0
288,0.0,1.0,0.0
418,1.0,1.0,0.0
391,0.0,0.0,1.0
498,0.0,0.0,1.0
138,1.0,0.0,0.0
62,0.0,0.0,1.0
471,0.0,0.0,1.0
128,1.0,0.0,0.0
631,0.0,1.0,0.0
520,0.0,0.0,1.0
64,0.0,0.0,1.0
14,1.0,0.0,0.0
156,0.0,0.0,1.0
40,0.0,0.0,1.0
492,0.0,0.0,1.0
379,1.0,0.0,0.0
187,0.0,0.0,1.0
216,0.0,0.0,1.0
52,1.0,0.0,0.0
337,0.0,0.0,1.0
295,1.0,1.0,0.0
251,0.0,0.0,1.0
461,0.0,0.0,1.0
455,0.0,0.0,1.0
646,0.0,1.0,0.0
269,1.0,0.0,0.0
201,1.0,0.0,0.0
161,1.0,0.0,0.0
555,0.0,0.0,1.0
401,1.0,1.0,0.0
476,0.0,0.0,1.0
105,0.0,0.0,1.0
565,1.0,0.0,0.0
389,0.0,1.0,0.0
1,0.0,0.0,1.0
605,0.0,1.0,0.0
561,1.0,1.0,0.0
80,1.0,0.0,0.0
205,0.0,0.0,1.0
34,1.0,0.0,0.0
508,1.0,0.0,0.0
427,0.0,0.0,1.0
454,0.0,0.0,1.0
366,0.0,0.0,1.0
91,0.0,0.0,1.0
339,1.0,1.0,0.0
564,1.0,0.0,0.0
345,0.0,1.0,0.0
241,1.0,0.0,0.0
13,1.0,0.0,0.0
315,0.0,1.0,0.0
600,1.0,0.0,0.0
387,1.0,1.0,0.0
273,0.0,0.0,1.0
166,1.0,1.0,0.0
643,0.0,1.0,0.0
484,0.0,0.0,1.0
633,0.0,1.0,0.0
504,0.0,1.0,0.0
243,0.0,0.0,1.0
566,1.0,1.0,0.0
562,0.0,0.0,1.0
189,1.0,0.0,0.0
475,0.0,0.0,1.0
510,0.0,0.0,1.0
58,1.0,0.0,0.0
474,1.0,0.0,0.0
560,1.0,0.0,0.0
252,0.0,0.0,1.0
21,1.0,0.0,0.0
313,0.0,1.0,0.0
459,0.0,0.0,1.0
160,0.0,0.0,1.0
276,1.0,0.0,0.0
191,1.0,0.0,0.0
385,0.0,1.0,0.0
413,1.0,1.0,0.0
491,0.0,1.0,0.0
343,0.0,1.0,0.0
308,0.0,1.0,0.0
130,0.0,0.0,1.0
99,0.0,0.0,1.0
372,0.0,0.0,1.0
87,0.0,0.0,1.0
458,0.0,0.0,1.0
330,0.0,1.0,0.0
214,0.0,0.0,1.0
466,1.0,0.0,0.0
121,1.0,0.0,0.0
614,0.0,0.0,1.0
20,1.0,0.0,0.0
71,1.0,0.0,0.0
106,0.0,0.0,1.0
270,1.0,0.0,0.0
435,0.0,0.0,1.0
102,1.0,0.0,0.0
